45: crossover='variable_twopoint', crossover_probability='0.2348882543492847', max_tree_depth='10', max_tree_nodes='24959', mutate_duplicates='False', mutation='int_flip_per_codon', mutation_events='7', no_crossover_invalids='True', no_mutation_invalids='True', selection='truncation', selection_proportion='0.7016119359312075', tournament_size='16', within_used='False'
46: crossover='subtree', crossover_probability='0.17854966135155426', max_tree_depth='14', max_tree_nodes='313397', mutate_duplicates='False', mutation='int_flip_per_ind', mutation_events='1', no_crossover_invalids='False', no_mutation_invalids='False', selection='truncation', selection_proportion='0.4951403301281979', tournament_size='15', within_used='False'
47: crossover='fixed_onepoint', crossover_probability='0.12577954962356266', max_tree_depth='10', max_tree_nodes='178757', mutate_duplicates='False', mutation='int_flip_per_codon', mutation_events='2', no_crossover_invalids='True', no_mutation_invalids='False', selection='tournament', selection_proportion='0.3792934450710199', tournament_size='4', within_used='False'
48: crossover='fixed_twopoint', crossover_probability='0.4757115017773953', max_tree_depth='8', max_tree_nodes='154', mutate_duplicates='True', mutation='int_flip_per_ind', mutation_events='9', no_crossover_invalids='True', no_mutation_invalids='True', selection='truncation', selection_proportion='0.6929301532688819', tournament_size='14', within_used='True'
49: crossover='variable_twopoint', crossover_probability='0.69897017070725', max_tree_depth='11', max_tree_nodes='6237', mutate_duplicates='True', mutation='int_flip_per_codon', mutation_events='5', no_crossover_invalids='False', no_mutation_invalids='False', selection='tournament', selection_proportion='0.8175942710351306', tournament_size='2', within_used='False'
50: crossover='fixed_twopoint', crossover_probability='0.542289139995481', max_tree_depth='10', max_tree_nodes='72', mutate_duplicates='True', mutation='int_flip_per_ind', mutation_events='10', no_crossover_invalids='True', no_mutation_invalids='False', selection='truncation', selection_proportion='0.3595719589398344', tournament_size='5', within_used='True'
51: crossover='fixed_twopoint', crossover_probability='0.6256701312328272', max_tree_depth='9', max_tree_nodes='873023', mutate_duplicates='False', mutation='int_flip_per_codon', mutation_events='7', no_crossover_invalids='True', no_mutation_invalids='False', selection='truncation', selection_proportion='0.18182267378840047', tournament_size='15', within_used='True'
52: crossover='fixed_onepoint', crossover_probability='0.22368958874153533', max_tree_depth='10', max_tree_nodes='81', mutate_duplicates='True', mutation='int_flip_per_ind', mutation_events='3', no_crossover_invalids='False', no_mutation_invalids='True', selection='tournament', selection_proportion='0.8530795804371266', tournament_size='3', within_used='False'
53: crossover='variable_twopoint', crossover_probability='0.3301155702201444', max_tree_depth='10', max_tree_nodes='367', mutate_duplicates='True', mutation='int_flip_per_codon', mutation_events='2', no_crossover_invalids='False', no_mutation_invalids='False', selection='truncation', selection_proportion='0.6725416817674901', tournament_size='7', within_used='True'
54: crossover='fixed_twopoint', crossover_probability='0.5067600755427291', max_tree_depth='9', max_tree_nodes='462665', mutate_duplicates='False', mutation='int_flip_per_ind', mutation_events='10', no_crossover_invalids='True', no_mutation_invalids='True', selection='truncation', selection_proportion='0.40571023230170655', tournament_size='4', within_used='False'
55: crossover='subtree', crossover_probability='0.8125947544514135', max_tree_depth='12', max_tree_nodes='510', mutate_duplicates='False', mutation='int_flip_per_codon', mutation_events='6', no_crossover_invalids='False', no_mutation_invalids='True', selection='truncation', selection_proportion='0.18251991175901872', tournament_size='9', within_used='False'
56: crossover='variable_onepoint', crossover_probability='0.43630133997277143', max_tree_depth='9', max_tree_nodes='221863', mutate_duplicates='False', mutation='int_flip_per_ind', mutation_events='8', no_crossover_invalids='False', no_mutation_invalids='False', selection='truncation', selection_proportion='0.5723311977231137', tournament_size='14', within_used='False'
57: crossover='fixed_onepoint', crossover_probability='0.5182110908788514', max_tree_depth='10', max_tree_nodes='880', mutate_duplicates='True', mutation='int_flip_per_ind', mutation_events='3', no_crossover_invalids='False', no_mutation_invalids='True', selection='truncation', selection_proportion='0.40617293691371326', tournament_size='18', within_used='True'
58: crossover='subtree', crossover_probability='0.48410184047027094', max_tree_depth='8', max_tree_nodes='233', mutate_duplicates='True', mutation='int_flip_per_ind', mutation_events='10', no_crossover_invalids='True', no_mutation_invalids='False', selection='truncation', selection_proportion='0.3595719589398344', tournament_size='5', within_used='True'
59: crossover='subtree', crossover_probability='0.4952426387146459', max_tree_depth='11', max_tree_nodes='294', mutate_duplicates='False', mutation='int_flip_per_codon', mutation_events='9', no_crossover_invalids='True', no_mutation_invalids='False', selection='truncation', selection_proportion='0.6258010915316319', tournament_size='13', within_used='False'
60: crossover='fixed_twopoint', crossover_probability='0.37711860788808316', max_tree_depth='9', max_tree_nodes='67', mutate_duplicates='True', mutation='int_flip_per_ind', mutation_events='3', no_crossover_invalids='True', no_mutation_invalids='True', selection='tournament', selection_proportion='0.38879331799899464', tournament_size='8', within_used='False'
61: crossover='variable_onepoint', crossover_probability='0.3099816107006006', max_tree_depth='11', max_tree_nodes='1508', mutate_duplicates='False', mutation='subtree', mutation_events='2', no_crossover_invalids='True', no_mutation_invalids='False', selection='truncation', selection_proportion='0.43127663677766426', tournament_size='14', within_used='True'
62: crossover='fixed_twopoint', crossover_probability='0.31793830270628637', max_tree_depth='10', max_tree_nodes='65', mutate_duplicates='False', mutation='int_flip_per_ind', mutation_events='10', no_crossover_invalids='True', no_mutation_invalids='True', selection='tournament', selection_proportion='0.8603552733925937', tournament_size='16', within_used='True'
63: crossover='fixed_onepoint', crossover_probability='0.6268549116104565', max_tree_depth='12', max_tree_nodes='937092', mutate_duplicates='False', mutation='int_flip_per_codon', mutation_events='3', no_crossover_invalids='False', no_mutation_invalids='False', selection='truncation', selection_proportion='0.6634309624086663', tournament_size='9', within_used='False'
64: crossover='fixed_twopoint', crossover_probability='0.528566143704586', max_tree_depth='10', max_tree_nodes='210', mutate_duplicates='True', mutation='int_flip_per_ind', mutation_events='9', no_crossover_invalids='True', no_mutation_invalids='False', selection='tournament', selection_proportion='0.750590531439775', tournament_size='12', within_used='False'
65: crossover='subtree', crossover_probability='0.4959675767523567', max_tree_depth='13', max_tree_nodes='197412', mutate_duplicates='True', mutation='subtree', mutation_events='10', no_crossover_invalids='True', no_mutation_invalids='False', selection='truncation', selection_proportion='0.5521170413492424', tournament_size='15', within_used='False'
66: crossover='fixed_onepoint', crossover_probability='0.49379529590892346', max_tree_depth='10', max_tree_nodes='77', mutate_duplicates='True', mutation='int_flip_per_ind', mutation_events='6', no_crossover_invalids='True', no_mutation_invalids='True', selection='truncation', selection_proportion='0.1502033831330879', tournament_size='7', within_used='False'
67: crossover='fixed_onepoint', crossover_probability='0.697676942356128', max_tree_depth='12', max_tree_nodes='347725', mutate_duplicates='True', mutation='int_flip_per_codon', mutation_events='9', no_crossover_invalids='False', no_mutation_invalids='True', selection='tournament', selection_proportion='0.1650953682538277', tournament_size='16', within_used='True'
68: crossover='fixed_onepoint', crossover_probability='0.1791018068384066', max_tree_depth='8', max_tree_nodes='715531', mutate_duplicates='False', mutation='int_flip_per_ind', mutation_events='8', no_crossover_invalids='False', no_mutation_invalids='False', selection='tournament', selection_proportion='0.3890650517364479', tournament_size='12', within_used='True'
69: crossover='fixed_onepoint', crossover_probability='0.31084452880232405', max_tree_depth='10', max_tree_nodes='350258', mutate_duplicates='True', mutation='int_flip_per_ind', mutation_events='10', no_crossover_invalids='False', no_mutation_invalids='True', selection='truncation', selection_proportion='0.805221883709917', tournament_size='18', within_used='True'
70: crossover='fixed_onepoint', crossover_probability='0.4303813712710739', max_tree_depth='9', max_tree_nodes='69', mutate_duplicates='False', mutation='int_flip_per_ind', mutation_events='1', no_crossover_invalids='False', no_mutation_invalids='False', selection='tournament', selection_proportion='0.3118725140075707', tournament_size='6', within_used='False'
71: crossover='variable_twopoint', crossover_probability='0.184951671463676', max_tree_depth='8', max_tree_nodes='275671', mutate_duplicates='False', mutation='int_flip_per_ind', mutation_events='4', no_crossover_invalids='False', no_mutation_invalids='False', selection='tournament', selection_proportion='0.453799825524837', tournament_size='14', within_used='False'
72: crossover='variable_twopoint', crossover_probability='0.535430361086624', max_tree_depth='12', max_tree_nodes='66', mutate_duplicates='False', mutation='int_flip_per_ind', mutation_events='1', no_crossover_invalids='True', no_mutation_invalids='True', selection='tournament', selection_proportion='0.8935760346015612', tournament_size='16', within_used='False'
73: crossover='variable_onepoint', crossover_probability='0.43266047783385175', max_tree_depth='8', max_tree_nodes='547', mutate_duplicates='True', mutation='int_flip_per_codon', mutation_events='10', no_crossover_invalids='True', no_mutation_invalids='True', selection='truncation', selection_proportion='0.7455893445650571', tournament_size='9', within_used='False'
74: crossover='variable_twopoint', crossover_probability='0.18117964678253112', max_tree_depth='11', max_tree_nodes='71', mutate_duplicates='False', mutation='int_flip_per_ind', mutation_events='7', no_crossover_invalids='False', no_mutation_invalids='True', selection='tournament', selection_proportion='0.1019987714632153', tournament_size='20', within_used='False'
75: crossover='subtree', crossover_probability='0.45784468915511445', max_tree_depth='10', max_tree_nodes='2177', mutate_duplicates='False', mutation='int_flip_per_ind', mutation_events='2', no_crossover_invalids='True', no_mutation_invalids='True', selection='tournament', selection_proportion='0.7034457415719647', tournament_size='3', within_used='False'
76: crossover='variable_twopoint', crossover_probability='0.3175391204906497', max_tree_depth='11', max_tree_nodes='3628', mutate_duplicates='True', mutation='int_flip_per_ind', mutation_events='10', no_crossover_invalids='False', no_mutation_invalids='False', selection='truncation', selection_proportion='0.7866367325490626', tournament_size='10', within_used='False'
77: crossover='variable_twopoint', crossover_probability='0.1608608464866574', max_tree_depth='12', max_tree_nodes='488445', mutate_duplicates='True', mutation='subtree', mutation_events='1', no_crossover_invalids='False', no_mutation_invalids='True', selection='tournament', selection_proportion='0.5990993084385569', tournament_size='13', within_used='True'
78: crossover='subtree', crossover_probability='0.7179246269319739', max_tree_depth='8', max_tree_nodes='69', mutate_duplicates='True', mutation='int_flip_per_ind', mutation_events='8', no_crossover_invalids='True', no_mutation_invalids='True', selection='tournament', selection_proportion='0.33652081498601893', tournament_size='19', within_used='True'
79: crossover='subtree', crossover_probability='0.23941153655882577', max_tree_depth='13', max_tree_nodes='477', mutate_duplicates='True', mutation='int_flip_per_codon', mutation_events='6', no_crossover_invalids='False', no_mutation_invalids='False', selection='truncation', selection_proportion='0.8149781009254682', tournament_size='5', within_used='False'
80: crossover='variable_onepoint', crossover_probability='0.21303524655190795', max_tree_depth='14', max_tree_nodes='401583', mutate_duplicates='True', mutation='int_flip_per_ind', mutation_events='9', no_crossover_invalids='True', no_mutation_invalids='False', selection='tournament', selection_proportion='0.7363413537183812', tournament_size='8', within_used='True'
81: crossover='variable_twopoint', crossover_probability='0.6205923939659581', max_tree_depth='9', max_tree_nodes='48231', mutate_duplicates='False', mutation='int_flip_per_ind', mutation_events='10', no_crossover_invalids='False', no_mutation_invalids='False', selection='truncation', selection_proportion='0.554084994497436', tournament_size='15', within_used='False'
82: crossover='fixed_onepoint', crossover_probability='0.18117964678253112', max_tree_depth='11', max_tree_nodes='71', mutate_duplicates='False', mutation='int_flip_per_ind', mutation_events='7', no_crossover_invalids='False', no_mutation_invalids='True', selection='tournament', selection_proportion='0.1019987714632153', tournament_size='20', within_used='False'
83: crossover='fixed_onepoint', crossover_probability='0.7694998813313965', max_tree_depth='9', max_tree_nodes='1172', mutate_duplicates='True', mutation='int_flip_per_codon', mutation_events='3', no_crossover_invalids='False', no_mutation_invalids='True', selection='tournament', selection_proportion='0.6121508189525182', tournament_size='13', within_used='False'
84: crossover='fixed_onepoint', crossover_probability='0.28802463287944136', max_tree_depth='8', max_tree_nodes='342958', mutate_duplicates='True', mutation='int_flip_per_ind', mutation_events='10', no_crossover_invalids='False', no_mutation_invalids='True', selection='truncation', selection_proportion='0.10865565136024342', tournament_size='7', within_used='False'
