ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	regens	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
12.866921404399184	43.442	11.203208556149733	35.70855614973262	29.06149732620321	37.09984476614465	11	1624	100	19.0	92.0	76.0	13	3.0	3.0	2.0	0	151	0	2.0370523929595947	6000	24.945555448532104	2327	61.21666666666667	
13.100967443288406	44.644	11.485714285714286	37.38	30.474285714285713	37.09984476614465	12	1775	100	18.0	92.0	76.0	7	3.0	3.0	2.0	0	151	0	1.7277626991271973	6500	26.6733181476593	2517	61.276923076923076	
13.952482684374734	46.692	11.94900849858357	39.314447592067985	32.1614730878187	37.09984476614465	13	1923	97	22.0	102.0	82.0	15	3.0	3.0	2.0	0	151	0	2.0643813610076904	7000	28.737699508666992	2726	61.05714285714286	
15.164626226937859	47.558	11.878706199460916	40.21293800539083	32.94070080862534	37.09984476614465	14	2053	112	23.0	116.0	97.0	9	3.0	3.0	2.0	0	151	0	2.128962516784668	7500	30.86666202545166	2923	61.02666666666667	
16.340527514572162	49.202	11.948228882833787	41.520435967302454	34.08991825613079	52.64991892639999	15	2187	122	21.0	131.0	108.0	3	3.0	3.0	2.0	0	151	0	3.0607151985168457	8000	33.927377223968506	3133	60.8375	
17.06290526676535	49.014	11.856368563685637	39.295392953929536	32.33875338753388	52.64991892639999	16	2319	128	22.0	117.0	97.0	8	3.0	3.0	2.0	0	151	0	5.940455436706543	8500	39.86783266067505	3339	60.71764705882353	
17.25386019313514	51.114	11.704301075268818	39.48924731182796	32.51075268817204	52.64991892639999	17	2447	106	20.0	117.0	97.0	10	3.0	3.0	2.0	0	151	0	4.750138521194458	9000	44.61797118186951	3530	60.77777777777777	
18.74997237636711	54.164	11.93029490616622	42.44504021447721	35.01072386058981	52.64991892639999	18	2574	126	24.0	117.0	97.0	10	3.0	3.0	2.0	0	151	0	4.527971982955933	9500	49.14594316482544	3730	60.73684210526316	
18.38079146613021	55.142	12.213256484149856	42.94812680115274	35.487031700288185	52.64991892639999	19	2728	145	20.0	116.0	96.0	6	3.0	3.0	2.0	0	151	0	3.386817455291748	10000	52.53276062011719	3907	60.93	
18.780340219197747	56.128	12.395663956639567	44.55555555555556	36.829268292682926	52.64991892639999	20	2860	122	23.0	116.0	96.0	10	3.0	3.0	2.0	0	151	0	4.240056753158569	10500	56.77281737327576	4097	60.98095238095238	
